kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
bskyas	 verb-past 	skya	Transitive: Voluntary:  1. To carry; convey to a place (a quantity of stones, wood, water, &c.). 2. To change place ; To move one's residence or dwelling; to migrate, transfer ; 1. To move, to move from one place to another, to migrate. 2. (archaic) To deliver, convey ;
bskya	 verb-fut 	skya	Transitive: Voluntary:  1. To carry; convey to a place (a quantity of stones, wood, water, &c.). 2. To change place ; To move one's residence or dwelling; to migrate, transfer ; 1. To move, to move from one place to another, to migrate. 2. (archaic) To deliver, convey ;
skyag	 verb-pres 	skyag	   1. To spread, lay out, expand. 2. (in West) To slaughter, murder (Jä) ;{:tag :label, :attrs nil, :content ["Note: "]}CD .
bskyogs	 verb-past 	skyag	   1. To spread, lay out, expand. 2. (in West) To slaughter, murder (Jä) ;{:tag :label, :attrs nil, :content ["Note: "]}CD .
bskyag	 verb-fut 	skyag	   1. To spread, lay out, expand. 2. (in West) To slaughter, murder (Jä) ;{:tag :label, :attrs nil, :content ["Note: "]}CD .
skyad	 verb-pres 	skyad	   To kill ; 1. To kill. 2. To compete ;
bskyad	 verb-past 	skyad	   To kill ; 1. To kill. 2. To compete ;
bskyad	 verb-fut 	skyad	   To kill ; 1. To kill. 2. To compete ;
skyi	 verb-pres 	skyi	Transitive: Voluntary:  To borrow, especially money or goods ; To lend; to borrow; to give or take something on loan ; To loan, borrow ; Certainly the same verb as skyin
bskyis	 verb-past 	skyi	Transitive: Voluntary:  To borrow, especially money or goods ; To lend; to borrow; to give or take something on loan ; To loan, borrow ; Certainly the same verb as skyin
bskyi	 verb-fut 	skyi	Transitive: Voluntary:  To borrow, especially money or goods ; To lend; to borrow; to give or take something on loan ; To loan, borrow ; Certainly the same verb as skyin
skyig	 verb-pres 	skyig	   To cause to tie, to fasten ;
bskyigs	 verb-past 	skyig	   To cause to tie, to fasten ;
bskyig	 verb-fut 	skyig	   To cause to tie, to fasten ;
skyig	 verb-pres 	skyig	   To hiccup ;
	 verb-past 	skyig	   To hiccup ;
	 verb-fut 	skyig	   To hiccup ;
skyin	 verb-pres 	skyin	   To borrow ; To lend, to borrow ; Compare skyi
bskyin	 verb-past 	skyin	   To borrow ; To lend, to borrow ; Compare skyi
bskyin	 verb-fut 	skyin	   To borrow ; To lend, to borrow ; Compare skyi
skyil	 verb-pres 	skyil	Transitive: Voluntary:  1. To pen up, shut up; to dam up a river. 2. (Jä) to bend, especially the legs when sitting on the ground after the oriental fashion. To bend in another's leg by a kick from behind; to bend the bow ; To dam; to store ; 1. To dam up, to pen up, contain. 2. To keep ;
bskyil(d)	 verb-past 	skyil	Transitive: Voluntary:  1. To pen up, shut up; to dam up a river. 2. (Jä) to bend, especially the legs when sitting on the ground after the oriental fashion. To bend in another's leg by a kick from behind; to bend the bow ; To dam; to store ; 1. To dam up, to pen up, contain. 2. To keep ;
bskyil	 verb-fut 	skyil	Transitive: Voluntary:  1. To pen up, shut up; to dam up a river. 2. (Jä) to bend, especially the legs when sitting on the ground after the oriental fashion. To bend in another's leg by a kick from behind; to bend the bow ; To dam; to store ; 1. To dam up, to pen up, contain. 2. To keep ;
skyug	 verb-pres 	skyug	 Voluntary:  To vomit, to eject (e.g. blood). 2. To lose color, to stain ; To vomit; to come out forcefully ;
skyugs	 verb-past 	skyug	 Voluntary:  To vomit, to eject (e.g. blood). 2. To lose color, to stain ; To vomit; to come out forcefully ;
skyug	 verb-fut 	skyug	 Voluntary:  To vomit, to eject (e.g. blood). 2. To lose color, to stain ; To vomit; to come out forcefully ;
skyug	 verb-pres 	skyug	Transitive:  Voluntary:  To cause to vomit ; To release the contents of the viscera from the mouth ; To vomit, to wretch ;
bskyugs	 verb-past 	skyug	Transitive:  Voluntary:  To cause to vomit ; To release the contents of the viscera from the mouth ; To vomit, to wretch ;
bskyug	 verb-fut 	skyug	Transitive:  Voluntary:  To cause to vomit ; To release the contents of the viscera from the mouth ; To vomit, to wretch ;
skyung	 verb-pres 	skyung	Transitive: Voluntary:  1. To diminish, reduce. 2. (Jä) (In Central Tibet) To leave behind; to lay aside (a task) ; To reduce or diminish one's pride or voice; to subdue; to give up ; 1. To cast off, leave far behind, to abandon and put behind; to give up completely, to discard completely. 2. To lessen (in amount, degree), to reduce (in size, extent) ;This word is discussed briefly in Emmerick (1978: 105).
bskyungs	 verb-past 	skyung	Transitive: Voluntary:  1. To diminish, reduce. 2. (Jä) (In Central Tibet) To leave behind; to lay aside (a task) ; To reduce or diminish one's pride or voice; to subdue; to give up ; 1. To cast off, leave far behind, to abandon and put behind; to give up completely, to discard completely. 2. To lessen (in amount, degree), to reduce (in size, extent) ;This word is discussed briefly in Emmerick (1978: 105).
bskyung	 verb-fut 	skyung	Transitive: Voluntary:  1. To diminish, reduce. 2. (Jä) (In Central Tibet) To leave behind; to lay aside (a task) ; To reduce or diminish one's pride or voice; to subdue; to give up ; 1. To cast off, leave far behind, to abandon and put behind; to give up completely, to discard completely. 2. To lessen (in amount, degree), to reduce (in size, extent) ;This word is discussed briefly in Emmerick (1978: 105).
skyud	 verb-pres 	skyud	Transitive: Voluntary:  1. To forget. 2. To leave off (Jä). 3. To communicate, swallow (Sch.) ; To forget; to fail to recall ; (archaic) To forget ; To forget ;
bskyud	 verb-past 	skyud	Transitive: Voluntary:  1. To forget. 2. To leave off (Jä). 3. To communicate, swallow (Sch.) ; To forget; to fail to recall ; (archaic) To forget ; To forget ;
bskyud	 verb-fut 	skyud	Transitive: Voluntary:  1. To forget. 2. To leave off (Jä). 3. To communicate, swallow (Sch.) ; To forget; to fail to recall ; (archaic) To forget ; To forget ;
skyur	 verb-pres 	skyur	Transitive: Voluntary:  To throw, to cast; to leave off ; To throw or to cast off, to renounce or give up ; 1. To throw away, discard (rubbish). 2. To abandon, leave behind (homeland, troubles) ; 1. (Mental) To give up on, to abandon, to forsake, to go back on something which one has previously adhered to, to leave behind something for something else seen as better. 2. (Physical) To toss off, away, to cast off something which is now seen as rubbish or as useless ;
bskyur(d)	 verb-past 	skyur	Transitive: Voluntary:  To throw, to cast; to leave off ; To throw or to cast off, to renounce or give up ; 1. To throw away, discard (rubbish). 2. To abandon, leave behind (homeland, troubles) ; 1. (Mental) To give up on, to abandon, to forsake, to go back on something which one has previously adhered to, to leave behind something for something else seen as better. 2. (Physical) To toss off, away, to cast off something which is now seen as rubbish or as useless ;
bskyur	 verb-fut 	skyur	Transitive: Voluntary:  To throw, to cast; to leave off ; To throw or to cast off, to renounce or give up ; 1. To throw away, discard (rubbish). 2. To abandon, leave behind (homeland, troubles) ; 1. (Mental) To give up on, to abandon, to forsake, to go back on something which one has previously adhered to, to leave behind something for something else seen as better. 2. (Physical) To toss off, away, to cast off something which is now seen as rubbish or as useless ;
skye	 verb-pres 	skye	Intransitive: Involuntary:  To be born, arise ; To be born; to come out newly ; 1. kinds of vegetation having first sprouted a shoot, to develop fruit. 2. To issues from the mother's womb. 3. To mature, rise up like the sprouting of vegetation. 4. To become larger or longer. 5. To arise, occur ; 1. To be born, to arise, to grow anew. 2. To grow, increase ;
skyes	 verb-past 	skye	Intransitive: Involuntary:  To be born, arise ; To be born; to come out newly ; 1. kinds of vegetation having first sprouted a shoot, to develop fruit. 2. To issues from the mother's womb. 3. To mature, rise up like the sprouting of vegetation. 4. To become larger or longer. 5. To arise, occur ; 1. To be born, to arise, to grow anew. 2. To grow, increase ;
skye	 verb-fut 	skye	Intransitive: Involuntary:  To be born, arise ; To be born; to come out newly ; 1. kinds of vegetation having first sprouted a shoot, to develop fruit. 2. To issues from the mother's womb. 3. To mature, rise up like the sprouting of vegetation. 4. To become larger or longer. 5. To arise, occur ; 1. To be born, to arise, to grow anew. 2. To grow, increase ;
skyeng	 verb-pres 	skyeng	Intransitive: Involuntary:  To be ashamed ; To be ashamed; to be embarrassed ; To be abashed, embarrassed, circumspect (especially regarding speech) ; I could see here two verbs (skyengs
skyengs	 verb-past 	skyeng	Intransitive: Involuntary:  To be ashamed ; To be ashamed; to be embarrassed ; To be abashed, embarrassed, circumspect (especially regarding speech) ; I could see here two verbs (skyengs
skyeng	 verb-fut 	skyeng	Intransitive: Involuntary:  To be ashamed ; To be ashamed; to be embarrassed ; To be abashed, embarrassed, circumspect (especially regarding speech) ; I could see here two verbs (skyengs
skyeng	 verb-pres 	skyeng	   To make shameful or to cause to be ashamed; to belittle; to bring down ;
bskyengs	 verb-past 	skyeng	   To make shameful or to cause to be ashamed; to belittle; to bring down ;
bskyeng	 verb-fut 	skyeng	   To make shameful or to cause to be ashamed; to belittle; to bring down ;
skyed	 verb-pres 	skyed	Transitive: Voluntary:  To procreate, generate, bring forth. give birth to ; To make progress, to increase, widen ;
bskyed	 verb-past 	skyed	Transitive: Voluntary:  To procreate, generate, bring forth. give birth to ; To make progress, to increase, widen ;
bskyed	 verb-fut 	skyed	Transitive: Voluntary:  To procreate, generate, bring forth. give birth to ; To make progress, to increase, widen ;
skyem	 verb-pres 	skyem	   To be thirsty ; Root given as skyem < skyam < skam (Beyer 1992: 84 n. 15).
skyems	 verb-past 	skyem	   To be thirsty ; Root given as skyem < skyam < skam (Beyer 1992: 84 n. 15).
	 verb-fut 	skyem	   To be thirsty ; Root given as skyem < skyam < skam (Beyer 1992: 84 n. 15).
skyel(d)	 verb-pres 	skyel	Transitive: Voluntary:  1. To carry, to take away. 2. To send. 3. To risk, to stake (one's life). 4. To use, to employ ; To deliver a person or thing; to see off, to kiss; to lose; to vow; to accomplish ; 1. To go from one place to another place accompanying another person in order to show love, to protect, or supervise. 2. To raise a thing from one place to another place. 3.  To use, employ. 4. To finish, perfect ; 1. To escort, to see off. 2. To send, transport, deliver, 3. To do, to apply. 4. To pass, spend (of time) ; Root given as skyal.
bskyal(d)	 verb-past 	skyel	Transitive: Voluntary:  1. To carry, to take away. 2. To send. 3. To risk, to stake (one's life). 4. To use, to employ ; To deliver a person or thing; to see off, to kiss; to lose; to vow; to accomplish ; 1. To go from one place to another place accompanying another person in order to show love, to protect, or supervise. 2. To raise a thing from one place to another place. 3.  To use, employ. 4. To finish, perfect ; 1. To escort, to see off. 2. To send, transport, deliver, 3. To do, to apply. 4. To pass, spend (of time) ; Root given as skyal.
bskyal	 verb-fut 	skyel	Transitive: Voluntary:  1. To carry, to take away. 2. To send. 3. To risk, to stake (one's life). 4. To use, to employ ; To deliver a person or thing; to see off, to kiss; to lose; to vow; to accomplish ; 1. To go from one place to another place accompanying another person in order to show love, to protect, or supervise. 2. To raise a thing from one place to another place. 3.  To use, employ. 4. To finish, perfect ; 1. To escort, to see off. 2. To send, transport, deliver, 3. To do, to apply. 4. To pass, spend (of time) ; Root given as skyal.
skyel	 verb-pres 	skyel	Intransitive:  Involuntary:   To conduct, accompany ;
bskyel	 verb-past 	skyel	Intransitive:  Involuntary:   To conduct, accompany ;
bskyel	 verb-fut 	skyel	Intransitive:  Involuntary:   To conduct, accompany ;
skyo	 verb-pres 	skyo	Intransitive: Involuntary:  To be sad, to be gloomy ; 1. To be irritated. 2. To be disaffected ; 1. To be sad, to be miserable.  2. To be fed up with, to be weary of, to be disenchanted with, to have distaste for ;
skyo	 verb-past 	skyo	Intransitive: Involuntary:  To be sad, to be gloomy ; 1. To be irritated. 2. To be disaffected ; 1. To be sad, to be miserable.  2. To be fed up with, to be weary of, to be disenchanted with, to have distaste for ;
skyo	 verb-fut 	skyo	Intransitive: Involuntary:  To be sad, to be gloomy ; 1. To be irritated. 2. To be disaffected ; 1. To be sad, to be miserable.  2. To be fed up with, to be weary of, to be disenchanted with, to have distaste for ;
skyog	 verb-pres 	skyog	Transitive: Voluntary:  To turn, to turn away, aside ; To turn aside, to drive aside ; 1. To change direction. 2. To bend, make crooked ; 1. To turn. 2. To move over, to give way ;
bskyogs	 verb-past 	skyog	Transitive: Voluntary:  To turn, to turn away, aside ; To turn aside, to drive aside ; 1. To change direction. 2. To bend, make crooked ; 1. To turn. 2. To move over, to give way ;
bskyog	 verb-fut 	skyog	Transitive: Voluntary:  To turn, to turn away, aside ; To turn aside, to drive aside ; 1. To change direction. 2. To bend, make crooked ; 1. To turn. 2. To move over, to give way ;
skyong	 verb-pres 	skyong	Intransitive:   To go on a long road ;
skyong	 verb-past 	skyong	Intransitive:   To go on a long road ;
skyong	 verb-fut 	skyong	Intransitive:   To go on a long road ;
skyong	 verb-pres 	skyong	Transitive: Voluntary:  To guard; to keep; to defend; to save; to preserve ; To look after; to nurse, cherish; to take care of; to administer ; 1. To look after, support, take care of. 2. To supervise, direct, support ; 1. To sustain, take care of, tend, look after. 2. To protect, guard. 3. To manage, do, hold, control, carry out ;
bskyangs	 verb-past 	skyong	Transitive: Voluntary:  To guard; to keep; to defend; to save; to preserve ; To look after; to nurse, cherish; to take care of; to administer ; 1. To look after, support, take care of. 2. To supervise, direct, support ; 1. To sustain, take care of, tend, look after. 2. To protect, guard. 3. To manage, do, hold, control, carry out ;
bskyang	 verb-fut 	skyong	Transitive: Voluntary:  To guard; to keep; to defend; to save; to preserve ; To look after; to nurse, cherish; to take care of; to administer ; 1. To look after, support, take care of. 2. To supervise, direct, support ; 1. To sustain, take care of, tend, look after. 2. To protect, guard. 3. To manage, do, hold, control, carry out ;
skyod	 verb-pres 	skyod	Transitive: Voluntary:  To move; to go, pass on ;  To move ; To move, agitate ; To move, stir, agitate ;
bskyod	 verb-past 	skyod	Transitive: Voluntary:  To move; to go, pass on ;  To move ; To move, agitate ; To move, stir, agitate ;
